danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.765,0.962,1,-4.182,1,0.0946,0.237,0.214,0.248,0.547,115.063,audio_features,2CcQBQomdpTg3q97rj2Gp7,spotify:track:2CcQBQomdpTg3q97rj2Gp7,https://api.spotify.com/v1/tracks/2CcQBQomdpTg3q97rj2Gp7,https://api.spotify.com/v1/audio-analysis/2CcQBQomdpTg3q97rj2Gp7,222261,4
0.534,0.968,2,-5.346,1,0.0477,0.00016,0.85,0.189,0.273,141.974,audio_features,11KHnqxnmOx8W5PyplVGrO,spotify:track:11KHnqxnmOx8W5PyplVGrO,https://api.spotify.com/v1/tracks/11KHnqxnmOx8W5PyplVGrO,https://api.spotify.com/v1/audio-analysis/11KHnqxnmOx8W5PyplVGrO,186761,4
0.52,0.99,11,-5.5,0,0.0584,0.00558,0.882,0.0458,0.41,143.002,audio_features,2wZHIIjxaLF5MnE5Eja4JY,spotify:track:2wZHIIjxaLF5MnE5Eja4JY,https://api.spotify.com/v1/tracks/2wZHIIjxaLF5MnE5Eja4JY,https://api.spotify.com/v1/audio-analysis/2wZHIIjxaLF5MnE5Eja4JY,191329,4
0.602,0.0955,10,-21.217,1,0.0325,0.518,0.892,0.0981,0.26,110.026,audio_features,6WftXLD8LIjH4TqNOdXoFS,spotify:track:6WftXLD8LIjH4TqNOdXoFS,https://api.spotify.com/v1/tracks/6WftXLD8LIjH4TqNOdXoFS,https://api.spotify.com/v1/audio-analysis/6WftXLD8LIjH4TqNOdXoFS,130925,4
0.622,0.996,11,-4.562,1,0.0479,0.0497,0.561,0.87,0.0404,134.992,audio_features,1588P94Gee4GvRUeMXLaQH,spotify:track:1588P94Gee4GvRUeMXLaQH,https://api.spotify.com/v1/tracks/1588P94Gee4GvRUeMXLaQH,https://api.spotify.com/v1/audio-analysis/1588P94Gee4GvRUeMXLaQH,217366,4
0.419,0.992,0,-1.897,1,0.355,0.0158,0.00938,0.348,0.241,144.919,audio_features,3XYR7QyOuo1UWvDwQuoKQX,spotify:track:3XYR7QyOuo1UWvDwQuoKQX,https://api.spotify.com/v1/tracks/3XYR7QyOuo1UWvDwQuoKQX,https://api.spotify.com/v1/audio-analysis/3XYR7QyOuo1UWvDwQuoKQX,201935,4
0.832,0.688,1,-6.439,1,0.19,0.0326,0.0627,0.16,0.597,129.945,audio_features,7j5lyR5RW7JLzXayM4zr8q,spotify:track:7j5lyR5RW7JLzXayM4zr8q,https://api.spotify.com/v1/tracks/7j5lyR5RW7JLzXayM4zr8q,https://api.spotify.com/v1/audio-analysis/7j5lyR5RW7JLzXayM4zr8q,195231,4
0.778,0.681,1,-7.824,1,0.0416,0.0131,0.885,0.121,0.157,191.83,audio_features,77D88ZnRBIv6N2hvkXQnzp,spotify:track:77D88ZnRBIv6N2hvkXQnzp,https://api.spotify.com/v1/tracks/77D88ZnRBIv6N2hvkXQnzp,https://api.spotify.com/v1/audio-analysis/77D88ZnRBIv6N2hvkXQnzp,140091,3
0.7,0.894,3,-5.506,0,0.188,0.0337,0.375,0.112,0.602,159.994,audio_features,2Q5qtG4goUGiejaHVHXrif,spotify:track:2Q5qtG4goUGiejaHVHXrif,https://api.spotify.com/v1/tracks/2Q5qtG4goUGiejaHVHXrif,https://api.spotify.com/v1/audio-analysis/2Q5qtG4goUGiejaHVHXrif,318326,4
0.661,0.787,1,-5.479,1,0.0348,0.00126,0.818,0.172,0.0894,131.979,audio_features,12wbHKaRQhEybCyEjHNg9L,spotify:track:12wbHKaRQhEybCyEjHNg9L,https://api.spotify.com/v1/tracks/12wbHKaRQhEybCyEjHNg9L,https://api.spotify.com/v1/audio-analysis/12wbHKaRQhEybCyEjHNg9L,165909,4
